Star Rating,Review Description
5,Amazing controllerYou won't regretJust ask me what are the flaws ?? -- LOL NOneIt's  a perfect controller for this price.Lightings are amazingCord is long enoughLooks good10/10 for everythingRead more
5,ExcellentRead more
5,HIGHLY RECOMMEND it's the best thing it's working totally fine very very very good and it will last a longRead more
4,the product is nice for laptop but not for xbox and i would not recommend this controller because Lb button and Rb button dont work properly after 3 months and on xbox there is a huge delayRead more
3,"Build quality is great, but upto 12 % circularity error. I mean its very difficult to get used to your own aim settings as this error keeps making it inconsistent. Stars for build quality only.Read more"
1,Waste of money take ps5 controller instead of thisRead more
4,"It's very good, It has a full customisable rgb flights and even extra buttons for mapping it even vibrate everything you do a actionRead more"
3,The cable provided by the manufacturer is defective and the controller keeps disconnecting. Beware there is no customer support in India and one must contact the American support. They will ask you to send the controller to another city for testing before replacing or repairing anything. Wouldn't recommend PowerA at all. Although in my case it was a cable I simply chose to replace the cable and not send it for testing.Read more
5,Worked great.. trying to get it fixedRead more
5,"Looks good.Build quality is good and good grip.All buttons working well (checked on gamepad tester website, don't forget to check if joysticks are pressable) and pressure triggers are also good too , And motors works well good vibration feedback.Got 10feet cable which is very useful and  a headphone jack port ,nice.Rs.3299 on prime day sale.Controller is good for casual gaming but choose keyboard+mouse for competitive gaming.Good gaming experience.Read more"
5,"Value for money,All functions work properly,Best Design,buttons,Analog, AmazingLittle bit costierBest for Gaming pc windowsHighly Recommended...Read more"
5,Was that this is worth it looks of the controller is bestRead more
4,There is not much different between the low range price...I have three Power A controller...Read more
5,I love the free pickaxe with the controllerRead more
3,"This controller started having stick drift within 10 days of purchase. It's disappointing, i paid something around 3300 for this. I contacted PowerA for warranty, their single response through an email takes a month.Read more"
2,It is not working properlyRead more
5,Good quality.Read more
5,Used for 1 day it's good and all variations are good in this lightning arc controller and two extra button on back side of the controller it is super we can map the keys it is helpful for effective game play in games and I will update any problem comes and how much days it last longesRead more
4,"Its a really nice controller and i have been using it since last 4 to 5 months. I don't have any major complaints but i would like to point out that recently the left stick of the controller started drifting. I researched about it on the net and found that many people have had similar issues with almost all powerA controllers. You can fix it by power dusting the controller and the issue did get resolved for me. But, I am not sure that it will not come back again later. So, if you can spend some extra then go for original xbox controller as it would be better. And also you will get usb connectivity with that one, which in my opinion is a must if you plan on serious gaming. But still this controller has a good feel, it is very responsive and fun. For a casual user like me, this product is good enough!Read more"
5,Good quality. Can’t really complainRead more
5,Perfect for your Xbox One X/S consoles. Provides flawless performance and is completely legit. Had zero issues with connectivity. Wire length is also adequate enough for you to sit 10ft apart from the TV and play.Read more
5,"Product is amazing only issue is , XYAB keys are not visible due to dark color. Rest working is anazing & on point. Looks premium and good vibration motors.Read more"
1,"The product looks good, only looks good. The product i received has connectivity issue, frequesnt disconnection, one of the button was not working, seems like seller knowlingly send the defective piece.Read more"
4,"So good, and cute too! The white rubber of the LS and RS gets dirty pretty fast though with regular use.Read more"
5,"Thank GOD I decided to upgrade from all those garbage 3rd party controllers, especially Power A. The OG Xbox controller is just perfect.Read more"
5,EnjoyingRead more
5,What can I sayI like the looksI like the functionalityIt works just fineWorth the buyRead more
4,"Why did you pick this product vs others?:The Xbox controller itself is excellent - responsive buttons, comfortable grip, and smooth connectivity.However, I'm giving 4 stars instead of 5 because the box was slightly damaged on arrival. Luckily, the controller was untouched and working fine.Read more"
5,GreatRead more
5,The controllers are amazing with very good haptic feedback. I love playing Fifa and F1 with this on my laptop.Read more
3,The Triggers get stuck without much extensive usage.Read more
5,Great product for games lover  🎮 🤌✨Read more
5,I gifted it to my daughter she loved it. It was easy to use.Read more
5,"Pros:**Windows 11**Ergonomic design**You can play steam, epicstore, gog galaxy and EA origin games.**Beautiful, sturdy packaging**Pretty neon designs, feels like it belongs in a gaming room.**it is like a mini PC, just cheaper. Kind of like an RV van for mobile gamers.Cons:**Screen is smaller than a tablet PC.**400 gb space only. :( needs additional HDD like sandisk TB to install more than 3 steam games.**Abit slow and laggy, or maybe my wifi is weak because we can not connect LAN wire for better internet connectivity. I think I can connect my logitech gamepad using an OTG connector but just not my hp keyboard or mouse. I guess it's a handheld like switch, deck and PsP.*battery seems lower than a gaming laptop and needs replacement. They say dont charge with extension cord which is not very realistic.** looks performance as well as heavy duty ""turbo"" mode flexible but it gets heated up and I don't think it will handle a powerful new gen game so I did not risk running it. I play small size and old games now until I can find more add'ons from amazon.**Last con is finding the right accessory like stingen rugged armour, I ended up refunding a 2023 model's armour because this is 2025 version and bigger than ally x.But stingen case designed for steam deck works well. Can carry it around convenientlyOverall satisfied and keeping it. 4.5/5Read more"
4,"Well everything was ok but the seller should’ve send the product inside a cartoon packaging instead of sending it only in the original packaging but ok the product didn’t got  damaged and now about the Ally well it’s not for you if you’re looking to play all the titles at highest settings, you will able to play most games at low 60 fps but the newer titles forget about it, only buy this thing if you already have a gaming pc or console so that you can use ally as a light gaming device and one more important thing that this thing released only 20 days ago so it’s not optimised at all so keep that in mindRead more"
5,"If you have never bought an Ally, then this is the one to get. If you already own one, you can skip this.Also something to keep in mind: this handheld is best if you have a Gsmepass subscription -- the experience is fantastic. Less so, if you have most of your games on Steam: you can still play them well, but it is not as seamless and experience.Read more"
1,"I bought this handheld thinking I can play light weight games on the go as I have Xbox series X console where I play most of my games. The major problem with this handheld is that it doesn’t even handle light weight games and having windows OS spoils all the fun. If you truly want to have fun playing games on the handheld while on the go, I would suggest better you go for the one with highest config or any other brand which have better config compared to this hand held cost wise. Quality wise, I don’t have any complaints and build quality is too good and ergonomics are also good as well compared to other handhelds. When you hold it in your hand, you feel like holding a Xbox controller which is just awesome. With this config and performance, I am totally disappointed. I will post another review if I can hold on to it for some more days as I am already planning to sell it off as this handheld has totally let me down.Read more"
5,"The media could not be loaded.I have used basically every handheld out there including the asus rog ally, legion go and the switch 2 but this one tops it all. It is pretty expensive, that’s a fact, but it is completely worth it. The moment you lay your hands on this device you know you have touched a console worth every penny you paid. Upgrading the ssd to 2tb makes it even better. You have people compaining that it does not play xbox games.. but come on it plays every game out there that too with top quality graphics and fps.Overall - 5 stars without a doubt.Read more"
5,Amazing product. Best overall. Bit pricey but worth it.Read more
5,Love it.Read more
1,I bought this for gaming is disappointed me game is lagging very bad graphic instead buying this buy a ps5Read more
5,"5/5 — Meta Quest 3S Xbox Edition: Absolutely Worth It!I received my Meta Quest 3S Xbox Edition yesterday, and I can confidently say this is one of the best purchases I’ve made this year. The moment I put it on, I was completely blown away. The virtual reality experience is stunning—incredibly immersive, smooth, and far better than I expected. It honestly feels like stepping into another world.The spatial sound is fantastic and adds so much depth to the experience. You can literally feel where things are coming from. And the haptics? Amazing. They give every interaction that extra layer of realism that makes gameplay feel more alive.A huge plus was the bundle: I got 3 months of Xbox Game Pass Ultimate, along with the Horizon Plus subscription, which made the value even better. Having access to such a massive library of games right out of the box takes the whole experience to another level.Overall, the Meta Quest 3S Xbox Edition has exceeded my expectations in every way. If you’re on the fence—just get it. It’s totally worth it.Read more"
3,"Product is good where as Xbox cloud gaming is not supported in india, we cannot play game until VPN is installed and it's not that easy to install VPN also almost impossible, good product worst service form Meta nd coRead more"
